name,pos,tags
jeanne crain,PN,famous
nina foch,PN,famous
eileen heckart,PN,famous
kim hunter,PN,famous
richard jaeckel,PN,famous
katy jurado,PN,famous
dorothy malone,PN,famous
dorothy mcguire,PN,famous
sidney poitier,PN,famous
cliff robertson,PN,famous
jane russell,PN,famous
shelley winters,PN,famous
natalie wood,PN,famous
marlon brando,PN,famous
richard burton,PN,famous
gloria grahame,PN,famous
angela lansbury,PN,famous
walter matthau,PN,famous
dan o'herlihy,PN,famous
jean simmons,PN,famous
julie andrews,PN,famous
jeff chandler,PN,famous
vincent gardenia,PN,famous
burt lancaster,PN,famous
melina mercouri,PN,famous
marilyn monroe,PN,famous
roger moore,PN,famous
patricia neal,PN,famous
dean stockwell,PN,famous
eva marie saint,PN,famous
maureen stapleton,PN,famous
michael york,PN,famous
anouk aimée,PN,famous
martin balsam,PN,famous
david carradine,PN,famous
george chakiris,PN,famous
rock hudson,PN,famous
janet leigh,PN,famous
jack palance,PN,famous
denver pyle,PN,famous
thelma ritter,PN,famous
harold russell,PN,famous
jan sterling,PN,famous
tony curtis,PN,famous
julie harris,PN,famous
rosemary harris,PN,famous
laurence harvey,PN,famous
audrey hepburn,PN,famous
jerry lewis,PN,famous
audie murphy,PN,famous
paul newman,PN,famous
leslie nielsen,PN,famous
nancy olson,PN,famous
joan plowright,PN,famous
christopher plummer,PN,famous
debbie reynolds,PN,famous
peter sellers,PN,famous
jack warden,PN,famous
mel brooks,PN,famous
denholm elliott,PN,famous
mitzi gaynor,PN,famous
lee grant,PN,famous
jack lemmon,PN,famous
mercedes mccambridge,PN,famous
max von sydow,PN,famous
james whitmore,PN,famous
woody allen,PN,famous
jeff bridges,PN,famous
charles bronson,PN,famous
michael caine,PN,famous
james dean,PN,famous
nigel hawthorne,PN,famous
tab hunter,PN,famous
grace kelly,PN,famous
piper laurie,PN,famous
sophia loren,PN,famous
lee marvin,PN,famous
rita moreno,PN,famous
telly savalas,PN,famous
kim stanley,PN,famous
mamie van doren,PN,famous
robert wagner,PN,famous
anne bancroft,PN,famous
ernest borgnine,PN,famous
leslie caron,PN,famous
john cassavetes,PN,famous
charles durning,PN,famous
joel grey,PN,famous
robert loggia,PN,famous
patty mccormack,PN,famous
maggie mcnamara,PN,famous
sal mineo,PN,famous
carroll o'connor,PN,famous
george peppard,PN,famous
jason robards,PN,famous
robert shaw,PN,famous
rod steiger,PN,famous
cicely tyson,PN,famous
stuart whitman,PN,famous
carroll baker,PN,famous
sandy dennis,PN,famous
robert duvall,PN,famous
george hamilton,PN,famous
geraldine page,PN,famous
anne ramsey,PN,famous
maggie smith,PN,famous
barbara barrie,PN,famous
michael v. gazzo,PN,famous
james earl jones,PN,famous
shirley jones,PN,famous
shirley maclaine,PN,famous
paul mazursky,PN,famous
steve mcqueen,PN,famous
ron moody,PN,famous
anthony perkins,PN,famous
rachel roberts,PN,famous
miyoshi umeki,PN,famous
christopher walken,PN,famous
geneviève bujold,PN,famous
diahann carroll,PN,famous
sean connery,PN,famous
clint eastwood,PN,famous
james garner,PN,famous
hal holbrook,PN,famous
dennis hopper,PN,famous
jayne mansfield,PN,famous
don murray,PN,famous
kim novak,PN,famous
peter o'toole,PN,famous
gena rowlands,PN,famous
omar sharif,PN,famous
jo van fleet,PN,famous
tony franciosa,PN,famous
annette funicello,PN,famous
jill ireland,PN,famous
fernanda montenegro,PN,famous
maximilian schell,PN,famous
barbra streisand,PN,famous
tuesday weld,PN,famous
joanne woodward,PN,famous
